Date,GBP/kWHs,Power Consumption,Ticker,Ticker Value,Total DOGE,Total Value GBP
09/05/2021 17:54:50,to-be-scraped,to-be-scraped,DOGEGBP,0.36000000,420,151.2
09/05/2021 17:54:50,to-be-scraped,to-be-scraped,DOGEGBP,0.35999000,420,151.1958
09/05/2021 17:54:51,to-be-scraped,to-be-scraped,DOGEGBP,0.36000000,420,151.2
09/05/2021 17:54:52,to-be-scraped,to-be-scraped,DOGEGBP,0.36000000,420,151.2
09/05/2021 17:54:53,to-be-scraped,to-be-scraped,DOGEGBP,0.36000000,420,151.2
09/05/2021 17:54:54,to-be-scraped,to-be-scraped,DOGEGBP,0.36000000,420,151.2
09/05/2021 17:54:54,to-be-scraped,to-be-scraped,DOGEGBP,0.35960000,420,151.03199999999998
09/05/2021 17:54:54,to-be-scraped,to-be-scraped,DOGEGBP,0.36019000,420,151.2798
09/05/2021 17:54:55,to-be-scraped,to-be-scraped,DOGEGBP,0.35991000,420,151.1622
09/05/2021 17:54:55,to-be-scraped,to-be-scraped,DOGEGBP,0.36019000,420,151.2798
09/05/2021 17:54:56,to-be-scraped,to-be-scraped,DOGEGBP,0.36014000,420,151.2588
09/05/2021 17:54:56,to-be-scraped,to-be-scraped,DOGEGBP,0.36014000,420,151.2588
09/05/2021 17:54:57,to-be-scraped,to-be-scraped,DOGEGBP,0.36007000,420,151.2294
09/05/2021 17:54:57,to-be-scraped,to-be-scraped,DOGEGBP,0.36007000,420,151.2294
09/05/2021 17:54:57,to-be-scraped,to-be-scraped,DOGEGBP,0.35997000,420,151.1874
09/05/2021 17:54:58,to-be-scraped,to-be-scraped,DOGEGBP,0.35997000,420,151.1874
09/05/2021 17:54:58,to-be-scraped,to-be-scraped,DOGEGBP,0.35997000,420,151.1874
09/05/2021 17:54:59,to-be-scraped,to-be-scraped,DOGEGBP,0.35997000,420,151.1874
09/05/2021 17:54:59,to-be-scraped,to-be-scraped,DOGEGBP,0.35997000,420,151.1874
09/05/2021 17:54:59,to-be-scraped,to-be-scraped,DOGEGBP,0.35997000,420,151.1874
09/05/2021 17:55:00,to-be-scraped,to-be-scraped,DOGEGBP,0.35997000,420,151.1874
09/05/2021 17:55:00,to-be-scraped,to-be-scraped,DOGEGBP,0.36020000,420,151.28400000000002
